Cement,Clinker,Slag,FlyAsh,Limestones,Gypsum,Water,Chemical Admixture,coarseagg,fineagg,Age,Strength (MPa),CO2 (kg),Cost (USD)
360,342,0,0,0,18,155,3.96,1019,842,7,32.21,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,32.3,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,32.31,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,32.37,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,32.4,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,32.44,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,32.46,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,32.48,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,32.52,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,32.53,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,32.59,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,32.67,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,32.71,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,32.95,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.05,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.13,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.26,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.27,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.35,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.47,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.48,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.56,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.59,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.61,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.64,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.7,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.71,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.72,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.76,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,33.93,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.01,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.03,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.08,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.11,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.15,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.17,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.18,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.19,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.22,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.26,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.27,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.29,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.32,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.41,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.42,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.44,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.5,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.57,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.58,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.61,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.77,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,34.82,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.03,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.12,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.18,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.22,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.24,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,35.26,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.27,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.29,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.38,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.51,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.55,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.56,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.57,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.61,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.62,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.63,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.66,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.68,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.71,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.75,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.8,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.82,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,35.83,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,35.85333333,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,35.95,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,36.01,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.02,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.03,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.05,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.06,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.08,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.11,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.14,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,36.16,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.19,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.24,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.25,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.28,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.29,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,36.33666667,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.34,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.35,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.38,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.41,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.43,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.46,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.48,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.53,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.54,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.58,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.63,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.66,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.73,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.75,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.78,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.79,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.82,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,36.82666667,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.84,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,36.87666667,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,36.88,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.9,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.94,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.96,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,36.97,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,36.98,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.03,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.04,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.05,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,37.06,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.11,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.12,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.13,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.17,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.18,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.19,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.2,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.22,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.23,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.36,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,37.37333333,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.39,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.4,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,37.43,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.5,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.53,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.55,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.65,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,37.66666667,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.69,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.75,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.78,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.79,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,37.82,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,37.84,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.85,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,37.86,368.1164,84.5235
